Date,CupsOfCoffee,SleepingHours,avg_temp,precipitation,cloud_cover,DoYouHaveAnySubmissionOrExam,SleepMinutes,SleepHours,SleepCategory,PreviousDaySleep,SleepTrend,DayOfWeek,IsWeekend,WeekOfYear,TemperatureCategory,PrecipitationCategory,CloudCategory,WeatherScore,UpcomingAcademicEvents,RecentAcademicEvents,PreviousDayCoffee,CoffeeTrend,StressScore
2025-03-11,2,07:30,10.0,2.5,48,False,450,7.5,Sufficient,7.21590909090909,7.21590909090909,Tuesday,False,11,Mild,Moderate,Partly Cloudy,24.4,0.0,0.0,1.5909090909090908,1.5909090909090908,0.94
2025-03-12,3,06:42,8.9,0.0,32,False,402,6.7,Normal,7.5,7.21590909090909,Wednesday,False,11,Mild,None,Partly Cloudy,15.149999999999999,0.0,0.0,2.0,1.5909090909090908,2.414999999999999
2025-03-13,4,06:33,5.8,0.0,61,False,393,6.55,Normal,6.7,7.21590909090909,Thursday,False,11,Cold,None,Mostly Cloudy,25.4,1.0,0.0,3.0,1.5909090909090908,5.890000000000001
2025-03-14,2,06:15,5.9,0.0,77,False,375,6.25,Normal,6.55,6.916666666666667,Friday,False,11,Cold,None,Overcast,30.15,2.0,0.0,4.0,3.0,9.265
2025-03-15,4,05:54,9.6,0.0,82,True,354,5.9,Insufficient,6.25,6.5,Saturday,True,11,Mild,None,Overcast,29.799999999999997,2.0,0.0,2.0,3.0,10.279999999999998
2025-03-16,1,07:02,5.3,0.0,76,True,422,7.033333333333333,Sufficient,5.9,6.233333333333334,Sunday,True,11,Cold,None,Overcast,30.15,1.0,1.0,4.0,3.3333333333333335,5.915
2025-03-17,0,08:25,9.1,0.0,44,False,505,8.416666666666666,Sufficient,7.033333333333333,6.394444444444445,Monday,False,12,Mild,None,Partly Cloudy,18.65,1.0,2.0,1.0,2.3333333333333335,1.6150000000000015
2025-03-18,2,07:20,7.8,0.0,67,False,440,7.333333333333333,Sufficient,8.416666666666666,7.116666666666667,Tuesday,False,12,Cold,None,Mostly Cloudy,26.199999999999996,1.0,1.0,0.0,1.6666666666666667,4.620000000000001
2025-03-19,1,08:12,10.3,0.0,26,True,492,8.2,Sufficient,7.333333333333333,7.594444444444444,Wednesday,False,12,Mild,None,Partly Cloudy,12.649999999999999,2.0,0.0,2.0,1.0,1.665000000000002
2025-03-20,0,07:09,10.2,0.0,50,False,429,7.15,Sufficient,8.2,7.983333333333332,Thursday,False,12,Mild,None,Partly Cloudy,19.9,1.0,1.0,1.0,1.0,4.539999999999999
2025-03-21,1,07:22,7.7,0.0,47,True,442,7.366666666666666,Sufficient,7.15,7.56111111111111,Friday,False,12,Cold,None,Partly Cloudy,20.25,1.0,1.0,0.0,1.0,3.925000000000001
2025-03-22,2,06:15,11.6,0.0,18,False,375,6.25,Normal,7.366666666666666,7.572222222222222,Saturday,True,12,Mild,None,Clear,9.6,1.0,1.0,1.0,0.6666666666666666,6.21
2025-03-23,3,06:12,11.6,0.0,53,False,372,6.2,Normal,6.25,6.922222222222222,Sunday,True,12,Mild,None,Mostly Cloudy,20.099999999999998,1.0,1.0,2.0,1.0,7.409999999999999
2025-03-24,0,07:55,9.3,0.0,49,True,475,7.916666666666667,Sufficient,6.2,6.605555555555555,Monday,False,13,Mild,None,Partly Cloudy,20.049999999999997,1.0,0.0,3.0,2.0,1.254999999999999
2025-03-25,1,06:39,13.2,0.2,54,False,399,6.65,Normal,7.916666666666667,6.788888888888889,Tuesday,False,13,Warm,Light,Mostly Cloudy,20.0,0.0,1.0,0.0,1.6666666666666667,4.049999999999999
2025-03-26,2,06:33,10.9,1.9,66,False,393,6.55,Normal,6.65,6.922222222222222,Wednesday,False,13,Mild,Moderate,Mostly Cloudy,28.150000000000002,0.0,1.0,1.0,1.3333333333333333,5.165000000000001
2025-03-27,1,07:46,11.1,0.0,12,False,466,7.766666666666667,Sufficient,6.55,7.038888888888889,Thursday,False,13,Mild,None,Clear,8.05,0.0,0.0,2.0,1.0,-1.4949999999999997
2025-03-28,2,06:51,9.2,0.0,47,False,411,6.85,Normal,7.766666666666667,6.988888888888888,Friday,False,13,Mild,None,Partly Cloudy,19.5,0.0,0.0,1.0,1.3333333333333333,2.4000000000000012
