start_time,end_time,value
2021-06-19 02:47:26 +0300,2021-06-19 05:00:01 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-19 22:30:00 +0300,2021-06-20 00:25:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-20 00:25:38 +0300,2021-06-20 05:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-20 22:54:57 +0300,2021-06-21 05:15:08 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-21 22:38:08 +0300,2021-06-22 04:45:01 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-22 22:42:37 +0300,2021-06-23 05:15:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-23 23:01:09 +0300,2021-06-24 05:30:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-24 22:43:16 +0300,2021-06-25 05:30:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-26 00:00:00 +0300,2021-06-26 07:00:20 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-26 23:03:14 +0300,2021-06-27 05:00:47 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-27 23:55:53 +0300,2021-06-28 05:00:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-29 00:24:56 +0300,2021-06-29 07:30:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-29 22:30:00 +0300,2021-06-30 05:20:34 +0300,HKCategoryValueSleepAnalysisInBed
2021-06-30 22:30:00 +0300,2021-07-01 05:15:17 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-01 22:36:40 +0300,2021-07-02 05:35:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-02 22:48:57 +0300,2021-07-03 06:00:20 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-03 22:41:25 +0300,2021-07-04 05:50:27 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-05 00:20:10 +0300,2021-07-05 08:00:25 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-05 22:54:51 +0300,2021-07-06 06:00:26 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-07 02:15:13 +0300,2021-07-07 06:33:44 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-07 06:33:51 +0300,2021-07-07 07:00:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-08 00:29:58 +0300,2021-07-08 06:15:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-08 22:30:00 +0300,2021-07-09 05:00:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-09 22:58:41 +0300,2021-07-10 05:00:24 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-11 02:01:59 +0300,2021-07-11 04:31:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-11 23:59:52 +0300,2021-07-12 05:00:30 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-13 00:33:36 +0300,2021-07-13 05:00:28 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-13 23:32:43 +0300,2021-07-14 07:00:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-15 03:00:33 +0300,2021-07-15 04:37:38 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-15 04:38:41 +0300,2021-07-15 04:39:17 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-15 04:39:59 +0300,2021-07-15 04:44:19 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-15 04:44:51 +0300,2021-07-15 05:00:00 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-15 22:38:27 +0300,2021-07-16 05:00:17 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-17 00:10:13 +0300,2021-07-17 05:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-17 23:32:20 +0300,2021-07-18 05:00:36 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-18 23:06:04 +0300,2021-07-19 05:00:19 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-20 00:02:52 +0300,2021-07-20 05:00:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-21 00:51:22 +0300,2021-07-21 05:00:35 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-22 00:24:01 +0300,2021-07-22 06:30:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-22 23:03:13 +0300,2021-07-23 05:30:28 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-23 23:34:39 +0300,2021-07-24 05:45:20 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-24 22:35:19 +0300,2021-07-25 05:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-25 22:30:31 +0300,2021-07-26 05:00:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-27 01:47:31 +0300,2021-07-27 05:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-28 01:25:43 +0300,2021-07-28 07:30:32 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-29 01:27:48 +0300,2021-07-29 05:01:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-29 23:57:32 +0300,2021-07-29 23:57:38 +0300,HKCategoryValueSleepAnalysisInBed
2021-07-30 00:09:44 +0300,2021-07-30 00:09:47 +0300,HKCategoryValueSleepAnalysisInBed
